===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2019-12-09 18:08:04
count workspace : d:\Program Files\xampp\htdocs\home\se_project_team3\Clicknext\application\views
total files : 108
total code lines : 17270
total comment lines : 6181
total blank lines : 1473

Case_Report\email.php, code is 0, comment is 0, blank is 0.
Case_Report\PHPMailer-master\.github\ISSUE_TEMPLATE.md, code is 4, comment is 0, blank is 1.
Case_Report\PHPMailer-master\.github\PULL_REQUEST_TEMPLATE.md, code is 4, comment is 0, blank is 2.
Case_Report\PHPMailer-master\.phan\config.php, code is 11, comment is 23, blank is 7.
Case_Report\PHPMailer-master\.php_cs, code is 31, comment is 0, blank is 0.
Case_Report\PHPMailer-master\COMMITMENT, code is 37, comment is 1, blank is 9.
Case_Report\PHPMailer-master\composer.json, code is 54, comment is 0, blank is 0.
Case_Report\PHPMailer-master\get_oauth_token.php, code is 82, comment is 46, blank is 16.
Case_Report\PHPMailer-master\language\phpmailer.lang-af.php, code is 20, comment is 4, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-am.php, code is 20, comment is 5, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-ar.php, code is 20, comment is 6, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-az.php, code is 19, comment is 6, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-ba.php, code is 20, comment is 5, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-be.php, code is 19, comment is 6, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-bg.php, code is 20, comment is 5, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-ca.php, code is 19, comment is 6, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-ch.php, code is 13, comment is 12, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-cs.php, code is 20, comment is 4, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-da.php, code is 13, comment is 12, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-de.php, code is 20, comment is 4, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-el.php, code is 19, comment is 5, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-eo.php, code is 19, comment is 5, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-es.php, code is 20, comment is 5, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-et.php, code is 20, comment is 6, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-fa.php, code is 19, comment is 7, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-fi.php, code is 14, comment is 12, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-fo.php, code is 13, comment is 12, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-fr.php, code is 20, comment is 8, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-gl.php, code is 19, comment is 6, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-he.php, code is 19, comment is 6, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-hi.php, code is 20, comment is 5, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-hr.php, code is 20, comment is 5, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-hu.php, code is 19, comment is 6, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-id.php, code is 20, comment is 6, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-it.php, code is 19, comment is 7, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-ja.php, code is 13, comment is 13, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-ka.php, code is 20, comment is 5, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-ko.php, code is 20, comment is 5, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-lt.php, code is 19, comment is 6, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-lv.php, code is 19, comment is 6, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-mg.php, code is 20, comment is 5, blank is 0.
Case_Report\PHPMailer-master\language\phpmailer.lang-ms.php, code is 19, comment is 6, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-nb.php, code is 20, comment is 4, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-nl.php, code is 19, comment is 6, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-pl.php, code is 21, comment is 4, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-pt.php, code is 20, comment is 5, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-pt_br.php, code is 20, comment is 8, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-ro.php, code is 20, comment is 5, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-rs.php, code is 20, comment is 5, blank is 1.
Case_Report\PHPMailer-master\language\phpmailer.lang-ru.php, code is 20, comment is 6, blank is 1.
